#Alive { 9.99 { https://www.netflix.com/title/81240831 { TV-MA  { Korean Movies { Horror Movies { Critically-acclaimed Movies 
#AnneFrank - Parallel Stories { 9.99 { https://www.netflix.com/title/81264660 { TV-14  { Documentaries { Historical Documentaries { Social & Cultural Documentaries 
#FollowFriday { 9.99 { https://www.netflix.com/title/81519787 { TV-MA  { Suspenseful Movies 
#FriendButMarried 2 { 9.99 { https://www.netflix.com/title/81260637 { TV-G  { Romantic Dramas { Emotional Movies { Movies based on real life 
#FriendButMarried { 9.99 { https://www.netflix.com/title/81260630 { TV-G  { Romantic Dramas { Movies based on real life 
#Rucker50 { 9.99 { https://www.netflix.com/title/80147908 { TV-PG  { Historical Documentaries { Sports Documentaries { Social & Cultural Documentaries { Sports Movies 
#Selfie 69 { 9.99 { https://www.netflix.com/title/81092766 { TV-MA  { Comedies { Romantic Comedies { Romantic Dramas { Romantic Movies 
#Selfie { 9.99 { https://www.netflix.com/title/81092768 { TV-MA  { Teen Comedies { Teen Movies 
#blackAF { 9.99 { https://www.netflix.com/title/81056700 { TV-MA  { TV Shows { TV Comedies { Sitcoms 
#realityhigh { 9.99 { https://www.netflix.com/title/80125979 { TV-14  { Teen Comedies { Teen Movies { Witty Movies 
3 Logical Exits { 9.99 { https://www.netflix.com/title/81504292 { TV-14  { Art House Movies 
3% { 9.99 { https://www.netflix.com/title/80074220 { TV-MA  { TV Dramas { TV Sci-Fi & Fantasy 
30 Rock { 9.99 { https://www.netflix.com/title/70136124 { TV-14  { TV Shows { TV Comedies { Sitcoms 
300 { 9.99 { https://www.netflix.com/title/70056440 { R  { Action & Adventure { Military Action & Adventure { War Movies 
3000 Nights { 9.99 { https://www.netflix.com/title/80082659 { TV-MA  { Independent Movies { Emotional Movies 
3022 { 9.99 { https://www.netflix.com/title/81094420 { R  { Independent Movies { Sci-Fi & Fantasy { Thrillers { Psychological Thrillers 
365 Days { 9.99 { https://www.netflix.com/title/81245964 { TV-MA  { Dramas 
3Below: Tales of Arcadia { 9.99 { https://www.netflix.com/title/80179784 { TV-Y7  { TV Cartoons { Kids' TV { TV Sci-Fi & Fantasy { Animation 
40 Sticks { 9.99 { https://www.netflix.com/title/81324416 { TV-14  { Critically-acclaimed Movies 
44 Cats { 9.99 { https://www.netflix.com/title/81081459 { TV-Y7  { TV Cartoons { Kids' TV { Animation 
46 { 9.99 { https://www.netflix.com/title/80158301 { TV-MA  { TV Mysteries 
48 Christmas Wishes { 9.99 { https://www.netflix.com/title/80232740 { TV-G  { Family Features 
4L { 9.99 { https://www.netflix.com/title/80221109 { TV-MA  { Independent Movies 
4th Republic { 9.99 { https://www.netflix.com/title/81049899 { TV-MA  { Thrillers { Critically-acclaimed Movies 
5 Flights Up { 9.99 { https://www.netflix.com/title/80017171 { PG-13  { Dramas { Independent Movies 
5 Star Christmas { 9.99 { https://www.netflix.com/title/81016408 { TV-14  { Comedies 
5Gang { 9.99 { https://www.netflix.com/title/81232663 { TV-14  { Teen Comedies { Teen Movies 
6 Balloons { 9.99 { https://www.netflix.com/title/80130625 { TV-MA  { Independent Movies 
6 Bullets { 9.99 { https://www.netflix.com/title/70229179 { R  { Action & Adventure { Action Thrillers { Crime Action & Adventure { Martial Arts Movies 
6 Underground { 9.99 { https://www.netflix.com/title/81001887 { R  { Action & Adventure { Action Thrillers 
6 Years { 9.99 { https://www.netflix.com/title/80045922 { TV-MA  { Romantic Dramas { Independent Movies { Romantic Movies { Emotional Movies 
60 Days In { 9.99 { https://www.netflix.com/title/81169603 { TV-MA  { TV Shows { Reality TV 
678 { 9.99 { https://www.netflix.com/title/81424367 { TV-14  { Independent Movies { Emotional Movies 
7 Days Out { 9.99 { https://www.netflix.com/title/80207124 { TV-PG  { Documentaries { TV Documentaries 
7 Khoon Maaf { 9.99 { https://www.netflix.com/title/70139075 { TV-MA  { Dramas { Thrillers { Psychological Thrillers { Mysteries 
7 Prisoners { 9.99 { https://www.netflix.com/title/81173970 { R  { Dramas { Brazilian Movies { Critically-acclaimed Movies 
7 Yards: The Chris Norton Story { 9.99 { https://www.netflix.com/title/81351554 { TV-PG  { Documentaries 
7 años { 9.99 { https://www.netflix.com/title/80095197 { TV-MA  { Cerebral Movies 
72 Cutest Animals { 9.99 { https://www.netflix.com/title/80104022 { TV-PG  { Documentaries { Science & Nature Documentaries { TV Documentaries 
72 Dangerous Animals: Asia { 9.99 { https://www.netflix.com/title/80165437 { TV-14  { Documentaries { Science & Nature Documentaries { TV Shows { TV Documentaries 
72 Dangerous Animals: Latin America { 9.99 { https://www.netflix.com/title/80165247 { TV-14  { Documentaries { Science & Nature Documentaries { TV Shows { TV Documentaries 
72 Dangerous Places to Live { 9.99 { https://www.netflix.com/title/80103006 { TV-PG  { Documentaries { TV Documentaries 
7:19 { 9.99 { https://www.netflix.com/title/80134885 { TV-MA  { Critically-acclaimed Movies { Gritty Movies 
7SEEDS { 9.99 { https://www.netflix.com/title/80183051 { TV-MA  { Anime { Anime Dramas { Anime Sci-Fi { Anime Series 
99 Songs (Tamil) { 9.99 { https://www.netflix.com/title/81464719 { TV-14  { Romantic Dramas { Romantic Movies 
99 Songs (Telugu) { 9.99 { https://www.netflix.com/title/81464722 { TV-14  { Romantic Dramas { Romantic Movies { Emotional Movies 
99 Songs { 9.99 { https://www.netflix.com/title/81450176 { TV-14  { Romantic Dramas { Romantic Movies { Emotional Movies 
9to5: The Story of a Movement { 9.99 { https://www.netflix.com/title/81160953 { TV-MA  { Social & Cultural Documentaries 
A 2nd Chance { 9.99 { https://www.netflix.com/title/70290905 { PG  { Children & Family Movies { Family Features { Sports Movies { Children & Family 
A 3 Minute Hug { 9.99 { https://www.netflix.com/title/80244679 { TV-PG  { Emotional Movies 
A Babysitter's Guide to Monster Hunting { 9.99 { https://www.netflix.com/title/81012821 { TV-PG  { Children & Family Movies { Family Features { Children & Family { Imaginative Movies 
A Bad Moms Christmas { 9.99 { https://www.netflix.com/title/80177872 { R  { Comedies 
A Beautiful Life { 9.99 { https://www.netflix.com/title/70216819 { TV-14  { Romantic Dramas { Romantic Movies { Emotional Movies 
A Boy Called Christmas { 9.99 { https://www.netflix.com/title/81029733 { PG  { Children & Family Movies { Family Features { Children & Family { Imaginative Movies 
A California Christmas { 9.99 { https://www.netflix.com/title/81344378 { PG-13  { Romantic Comedies { Romantic Movies { Christmas Films, Romantic 
A California Christmas: City Lights { 9.99 { https://www.netflix.com/title/81447216 { PG-13  { Comedies { Romantic Comedies { Romantic Movies { Christmas Films, Romantic 
A Castle For Christmas { 9.99 { https://www.netflix.com/title/81026181 { TV-G  { Comedies { Romantic Comedies { Romantic Movies 
A Champion Heart { 9.99 { https://www.netflix.com/title/81078909 { G  { Children & Family Movies { Family Features { Children & Family 
A Choo { 9.99 { https://www.netflix.com/title/81322031 { TV-14  { Action & Adventure { Asian Action Movies { Sci-Fi & Fantasy { Action Sci-Fi & Fantasy { Fantasy Movies { Emotional Movies { Goofy Movies 
A Christmas Catch { 9.99 { https://www.netflix.com/title/81319146 { TV-G  { Christmas Films, Romantic { Quirky Movies 
A Christmas Prince { 9.99 { https://www.netflix.com/title/80160759 { TV-PG  { Children & Family Movies { Family Features { Dramas { Romantic Dramas { Romantic Movies { Children & Family { Christmas Films, Romantic 
A Christmas Prince: The Royal Baby { 9.99 { https://www.netflix.com/title/81029841 { TV-PG  { Children & Family Movies { Family Features { Dramas { Romantic Dramas { Romantic Movies { Children & Family { Christmas Films, Romantic 
A Christmas Prince: The Royal Wedding { 9.99 { https://www.netflix.com/title/80238204 { TV-PG  { Children & Family Movies { Family Features { Dramas { Romantic Dramas { Romantic Movies { Children & Family { Christmas Films, Romantic 
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir { 9.99 { https://www.netflix.com/title/80163222 { TV-Y7  { TV Cartoons { Kids' TV 
A Cinderella Story: Christmas Wish { 9.99 { https://www.netflix.com/title/81148811 { PG  { Children & Family Movies { Family Features { Comedies { Teen Comedies { Romantic Comedies { Romantic Movies { Children & Family { Christmas Films, Romantic { Goofy Movies { Teen Movies 
A Classic Horror Story { 9.99 { https://www.netflix.com/title/81248435 { TV-MA  { Horror Movies { Gangster Movies { Cerebral Movies 
A Cop Movie { 9.99 { https://www.netflix.com/title/81314321 { R  { Cerebral Movies { Critically-acclaimed Movies { Gritty Movies 
A Drowning Man { 9.99 { https://www.netflix.com/title/81504284 { TV-MA  { Art House Movies 
A Fairly Odd Summer { 9.99 { https://www.netflix.com/title/81214223 { TV-Y7  { Animation { Goofy Movies 
A Fall from Grace { 9.99 { https://www.netflix.com/title/81127902 { TV-MA  { Dramas { Thrillers { Suspenseful Movies 
A Family Reunion Christmas { 9.99 { https://www.netflix.com/title/81004748 { TV-PG  { Children & Family Movies { Family Features { Comedies { Children & Family { Sitcoms 
A Family { 9.99 { https://www.netflix.com/title/81424705 { TV-MA  { Dramas { Gangster Movies 
A Faraway Land { 9.99 { https://www.netflix.com/title/81452752 { TV-PG  { Romantic Dramas { Romantic Movies { Emotional Movies 
A Fortunate Man { 9.99 { https://www.netflix.com/title/81073387 { TV-MA  { Period Pieces { Critically-acclaimed Movies { Emotional Movies 
A Futile and Stupid Gesture { 9.99 { https://www.netflix.com/title/80107084 { TV-MA  { Movies based on real life { Witty Movies 
A Go! Go! Cory Carson Christmas { 9.99 { https://www.netflix.com/title/81021358 { TV-Y  { TV Cartoons { Kids' TV { Animation 
A Haunted House 2 { 9.99 { https://www.netflix.com/title/70295062 { R  { Comedies { Horror Movies { Horror Comedy { Goofy Movies 
A Home with A View { 9.99 { https://www.netflix.com/title/81029737 { TV-MA  { Dark Comedies 
A House of Blocks { 9.99 { https://www.netflix.com/title/80189155 { TV-PG  { TV Dramas { TV Horror 
A Kid from Coney Island { 9.99 { https://www.netflix.com/title/81155851 { TV-MA  { Sports Documentaries { Sports Movies 
A Korean Odyssey { 9.99 { https://www.netflix.com/title/80214405 { TV-MA  { TV Shows { TV Dramas { TV Sci-Fi & Fantasy 
A Land Imagined { 9.99 { https://www.netflix.com/title/81041391 { TV-MA  { Film Noir { Mysteries { Cerebral Movies 
A Life of Speed: The Juan Manuel Fangio Story { 9.99 { https://www.netflix.com/title/80227556 { TV-14  { Biographical Documentaries { Historical Documentaries { Sports Documentaries { Sports Movies 
A Lion in the House { 9.99 { https://www.netflix.com/title/81284341 { TV-14  { Documentaries { Science & Nature Documentaries { Critically-acclaimed Movies { Emotional Movies 
A Little Chaos { 9.99 { https://www.netflix.com/title/80017099 { R  { Dramas { Period Pieces { Romantic Dramas { Independent Movies { Romantic Movies 
A Little Thing Called First Love { 9.99 { https://www.netflix.com/title/81185502 { TV-G  { Teen TV Shows 
A Love So Beautiful { 9.99 { https://www.netflix.com/title/80239640 { TV-14  { TV Dramas { Teen TV Shows 
A Love So Beautiful { 9.99 { https://www.netflix.com/title/81354739 { TV-PG  { TV Shows { TV Comedies { Teen TV Shows 
A Love Song for Latasha { 9.99 { https://www.netflix.com/title/81304985 { TV-PG  { Biographical Documentaries { Social & Cultural Documentaries { Emotional Movies 
A Love Story { 9.99 { https://www.netflix.com/title/70090072 { TV-14  { Romantic Dramas { Romantic Movies { Emotional Movies 
A Madea Homecoming { 9.99 { https://www.netflix.com/title/81510180 { TV-MA  { Comedies { Goofy Movies 
A Man Returned { 9.99 { https://www.netflix.com/title/81504289 { TV-MA  { Art House Movies { Critically-acclaimed Movies 
A Man for the Weekend { 9.99 { https://www.netflix.com/title/81437266 { TV-14  { Romantic Comedies { Romantic Dramas { Romantic Movies { Emotional Movies 
A Monster Calls { 9.99 { https://www.netflix.com/title/80022607 { PG-13  { Dramas { Sci-Fi & Fantasy { Fantasy Movies { Critically-acclaimed Movies { Emotional Movies { Imaginative Movies 
A Naija Christmas { 9.99 { https://www.netflix.com/title/81434660 { TV-14  { Comedies { Romantic Comedies { Dramas { Romantic Dramas { Romantic Movies { Christmas Films, Romantic 
A New York Christmas Wedding { 9.99 { https://www.netflix.com/title/81345799 { TV-MA  { Dramas { Gay & Lesbian Dramas { Romantic Dramas { Gay & Lesbian Movies { Christmas Films, Romantic { Quirky Movies 
A Perfect Crime { 9.99 { https://www.netflix.com/title/81022994 { TV-14  { Documentaries { Social & Cultural Documentaries { Crime TV Shows { TV Documentaries 
A Perfect Day For Arsenide { 9.99 { https://www.netflix.com/title/81405587 { TV-MA  { Crime TV Shows { TV Mysteries 
A Perfect Ending { 9.99 { https://www.netflix.com/title/70209245 { TV-MA  { Dramas { Gay & Lesbian Dramas { Romantic Dramas { Gay & Lesbian Movies { Romantic Movies { Steamy Romantic Movies 
A Perfect Fit { 9.99 { https://www.netflix.com/title/81327369 { TV-PG  { Romantic Comedies { Romantic Dramas { Romantic Movies { Emotional Movies 
A Place in the Stars { 9.99 { https://www.netflix.com/title/80127437 { TV-14  { Thrillers { Gangster Movies { Gritty Movies 
A Plastic Ocean { 9.99 { https://www.netflix.com/title/80164032 { TV-14  { Documentaries { Science & Nature Documentaries 
A Princess for Christmas { 9.99 { https://www.netflix.com/title/70255115 { TV-PG  { Children & Family Movies { Family Features { Dramas { Romantic Dramas { Romantic Movies { Children & Family { Christmas Films, Romantic 
A Private War { 9.99 { https://www.netflix.com/title/81002445 { R  { Dramas { Independent Movies { Critically-acclaimed Movies { Gritty Movies { Movies based on real life { War Movies 
A Queen Is Born { 9.99 { https://www.netflix.com/title/81140803 { TV-14  { Reality TV 
A River Runs Through It { 9.99 { https://www.netflix.com/title/911839 { PG  { Classic Movies { Dramas { Critically-acclaimed Movies { Emotional Movies { Movies based on real life 
A Romantic Comedy { 9.99 { https://www.netflix.com/title/80134438 { TV-MA  { Romantic Movies 
A Second Chance { 9.99 { https://www.netflix.com/title/80092925 { TV-MA  { Romantic Dramas { Romantic Movies { Emotional Movies 
A Second Chance:  Rivals! { 9.99 { https://www.netflix.com/title/81354629 { PG  { Children & Family Movies { Family Features { Sports Movies { Children & Family 
A Secret Love { 9.99 { https://www.netflix.com/title/80209024 { TV-14  { Documentaries { Biographical Documentaries { Social & Cultural Documentaries { Gay & Lesbian Movies { Gay & Lesbian Documentaries { Critically-acclaimed Movies { Emotional Movies 
A Series of Unfortunate Events { 9.99 { https://www.netflix.com/title/80050008 { TV-PG  { Kids' TV { TV Shows { TV Comedies { TV Dramas 
A Shaun the Sheep Movie: Farmageddon { 9.99 { https://www.netflix.com/title/80242602 { G  { Children & Family Movies { Family Features { Animal Tales { Comedies { Animation { Children & Family { Critically-acclaimed Movies { Goofy Movies { Imaginative Movies 
A Silent Voice { 9.99 { https://www.netflix.com/title/80223226 { TV-14  { Anime { Anime Dramas { Anime Features { Critically-acclaimed Movies { Emotional Movies { Teen Movies 
A Sinister Sect: Colonia Dignidad { 9.99 { https://www.netflix.com/title/80196160 { TV-MA  { Documentaries { Crime TV Shows { TV Documentaries 
A Sort of Family { 9.99 { https://www.netflix.com/title/80202808 { TV-14  { Thrillers { Psychological Thrillers { Suspenseful Movies 
A StoryBots Christmas { 9.99 { https://www.netflix.com/title/80158854 { TV-Y  { Education for Kids { TV Cartoons { Animation { Goofy Movies 
A StoryBots Space Adventure { 9.99 { https://www.netflix.com/title/81484111 { TV-Y  { Children & Family Movies { Education for Kids { TV Cartoons { Kids' TV { Animation { Children & Family { Goofy Movies { Imaginative Movies 
A Sun { 9.99 { https://www.netflix.com/title/81168282 { TV-MA  { Art House Movies { Independent Movies { Emotional Movies 
A Tale Dark & Grimm { 9.99 { https://www.netflix.com/title/81076952 { TV-Y7  { TV Cartoons { Kids' TV { TV Comedies { TV Sci-Fi & Fantasy { Animation 
A Tale of Two Kitchens { 9.99 { https://www.netflix.com/title/80244680 { TV-PG  { Social & Cultural Documentaries 
A Trash Truck Christmas { 9.99 { https://www.netflix.com/title/81010807 { TV-Y  { Children & Family Movies { TV Cartoons { Kids' TV { Animation { Children & Family 
A Twelve Year Night { 9.99 { https://www.netflix.com/title/80185375 { TV-MA  { Critically-acclaimed Movies { Movies based on real life 
A Very Country Christmas { 9.99 { https://www.netflix.com/title/81319145 { TV-G  { Christmas Films, Romantic 
A Very Harold & Kumar Christmas { 9.99 { https://www.netflix.com/title/70178622 { R  { Comedies { Goofy Movies 
A Very Murray Christmas { 9.99 { https://www.netflix.com/title/80042368 { TV-14  { Witty Movies 
A Very Special Love { 9.99 { https://www.netflix.com/title/70111993 { TV-G  { Romantic Movies 
A Week Away { 9.99 { https://www.netflix.com/title/81183451 { TV-PG  { Children & Family Movies { Family Features { Faith & Spirituality { Romantic Movies { Children & Family { Teen Movies 
A Whisker Away { 9.99 { https://www.netflix.com/title/81281872 { TV-PG  { Anime { Anime Dramas { Anime Features { Anime Fantasy { Children & Family Movies { Family Features { Romantic Movies { Sci-Fi & Fantasy { Children & Family { Imaginative Movies 
A Witches' Ball { 9.99 { https://www.netflix.com/title/81012857 { PG  { Imaginative Movies 
A World Without { 9.99 { https://www.netflix.com/title/81327370 { TV-MA  { Sci-Fi & Fantasy { Thrillers { Emotional Movies { Imaginative Movies { Teen Movies 
A Yellow Bird { 9.99 { https://www.netflix.com/title/80115133 { TV-MA  { Independent Movies 
A truthful Mother { 9.99 { https://www.netflix.com/title/81260948 { TV-Y7  { Imaginative Movies 
A.I.C.O. { 9.99 { https://www.netflix.com/title/80161848 { TV-14  { Anime { Anime Action { Anime Sci-Fi { Anime Series 
ADAM SANDLER 100% FRESH { 9.99 { https://www.netflix.com/title/80224536 { TV-MA  { Stand-up Comedy 
AI Love You { 9.99 { https://www.netflix.com/title/81495715 { TV-14  { Comedies { Romantic Comedies { Romantic Movies { Sci-Fi & Fantasy 
AJ and the Queen { 9.99 { https://www.netflix.com/title/80237329 { TV-14  { TV Comedies { TV Dramas 
AJIN: Demi-Human { 9.99 { https://www.netflix.com/title/80043576 { TV-MA  { Anime { Anime Action { Anime Sci-Fi { Anime Series { TV Shows 
AK vs AK { 9.99 { https://www.netflix.com/title/81227759 { TV-MA  { Dark Comedies { Imaginative Movies 
ANIMA { 9.99 { https://www.netflix.com/title/81110498 { TV-PG  { Dramas { Art House Movies { Critically-acclaimed Movies 
ARASHI's Diary -Voyage- { 9.99 { https://www.netflix.com/title/81219073 { TV-PG  { Documentaries 
ARQ { 9.99 { https://www.netflix.com/title/80092885 { TV-MA  { Sci-Fi & Fantasy { Thrillers { Gritty Movies 
Aakhri Adaalat { 9.99 { https://www.netflix.com/title/20254278 { TV-14  { Crime Action & Adventure 
Aamir { 9.99 { https://www.netflix.com/title/70100644 { TV-14  { Thrillers { Gritty Movies 
Aapla Manus { 9.99 { https://www.netflix.com/title/81281554 { TV-14  { Thrillers { Mysteries { Suspenseful Movies 
Aashik Awara { 9.99 { https://www.netflix.com/title/80157084 { TV-14  { Romantic Movies { Romantic Favorites 
Aaviri { 9.99 { https://www.netflix.com/title/81177444 { TV-14  { Horror Movies { Thrillers { Suspenseful Movies 
Abby Hatcher { 9.99 { https://www.netflix.com/title/81071296 { TV-Y  { TV Cartoons { Kids' TV { Animation 
Abducted in Plain Sight { 9.99 { https://www.netflix.com/title/81000864 { TV-14  { Documentaries 
Abduction { 9.99 { https://www.netflix.com/title/70183164 { PG-13  { Action & Adventure { Action Thrillers { Mysteries { Suspenseful Movies 
Abla Fahita: Drama Queen { 9.99 { https://www.netflix.com/title/81219228 { TV-14  { Crime TV Shows 
About Time { 9.99 { https://www.netflix.com/title/70261674 { R  { Comedies { Romantic Comedies { Dramas { Romantic Dramas { Romantic Movies { Imaginative Movies { Witty Movies 
Abstract: The Art of Design { 9.99 { https://www.netflix.com/title/80057883 { TV-14  { Documentaries { Social & Cultural Documentaries { TV Documentaries 
Absurd Planet { 9.99 { https://www.netflix.com/title/81082225 { TV-PG  { Documentaries { Science & Nature Documentaries { TV Comedies { TV Documentaries 
Abyss { 9.99 { https://www.netflix.com/title/81087762 { TV-14  { TV Shows { TV Dramas { TV Sci-Fi & Fantasy 
Accident { 9.99 { https://www.netflix.com/title/70124651 { TV-MA  { Thrillers { Psychological Thrillers { Mysteries { Critically-acclaimed Movies { Suspenseful Movies 
Accidentally in Love { 9.99 { https://www.netflix.com/title/81025800 { TV-14  { TV Shows { TV Comedies { TV Dramas 
Accomplice { 9.99 { https://www.netflix.com/title/81354556 { TV-14  { Sports Documentaries { Sports Movies 
Action Pack { 9.99 { https://www.netflix.com/title/80993597 { TV-Y  { TV Cartoons { Kids' TV { Animation 
Action Replayy { 9.99 { https://www.netflix.com/title/70158421 { TV-PG  { Romantic Comedies { Goofy Movies 
Acts of Vengeance { 9.99 { https://www.netflix.com/title/80190283 { R  { Action & Adventure { Action Thrillers { Suspenseful Movies 
Ad Vitam { 9.99 { https://www.netflix.com/title/81082327 { TV-MA  { TV Dramas { TV Mysteries { TV Sci-Fi & Fantasy 
Ada Twist, Scientist { 9.99 { https://www.netflix.com/title/80198673 { TV-Y  { Education for Kids { TV Cartoons { Kids' TV { Animation 
Adam Devine: Best Time of Our Lives { 9.99 { https://www.netflix.com/title/80993404 { TV-MA  { Stand-up Comedy 
Adam: His Song Continues { 9.99 { https://www.netflix.com/title/70206816 { TV-MA  { Emotional Movies { Movies based on real life 
Adel Karam: Live from Beirut { 9.99 { https://www.netflix.com/title/80203919 { TV-MA  { Stand-up Comedy 
Adhugo { 9.99 { https://www.netflix.com/title/81052265 { TV-14  { Independent Movies 
Aditi Mittal: Things They Wouldn't Let Me Say { 9.99 { https://www.netflix.com/title/80183329 { TV-MA  { Stand-up Comedy 
Adrift { 9.99 { https://www.netflix.com/title/80240550 { PG-13  { Action & Adventure { Adventures { Dramas { Romantic Dramas { Romantic Movies { Sports Movies { Emotional Movies { Movies based on real life 
Advantageous { 9.99 { https://www.netflix.com/title/80038420 { TV-MA  { Independent Movies { Cerebral Movies 
Adventure Beast { 9.99 { https://www.netflix.com/title/81080959 { TV-14  { Adult Animation { TV Action & Adventure { TV Comedies { Animation 
Adú { 9.99 { https://www.netflix.com/title/80993647 { TV-MA  { Dramas { Emotional Movies 
Aelay { 9.99 { https://www.netflix.com/title/81424087 { TV-14  { Independent Movies { Emotional Movies 
Aerials { 9.99 { https://www.netflix.com/title/81252517 { TV-14  { Sci-Fi & Fantasy { Alien Sci-Fi 
Afflicted { 9.99 { https://www.netflix.com/title/80188953 { TV-MA  { TV Documentaries { Reality TV 
Afonso Padilha: Classless { 9.99 { https://www.netflix.com/title/81194685 { TV-MA  { Stand-up Comedy 
African America { 9.99 { https://www.netflix.com/title/81464762 { TV-MA  { Independent Movies { Emotional Movies 
Afronta! Facing It! { 9.99 { https://www.netflix.com/title/81331067 { TV-PG  { Social & Cultural Documentaries { TV Documentaries 
After Life { 9.99 { https://www.netflix.com/title/80998491 { TV-MA  { TV Shows { British TV Shows { TV Comedies { TV Dramas 
